geneID	cluster	domain	pfam
Pele_DN100894_c0_g2	1	CcmD	PF04995
Pele_DN100894_c0_g2	1	Bestrophin-like	PF14023
Pele_DN104197_c0_g1	1	EGF_laminin	PF00053
Pele_DN104197_c0_g1	1	EGF_PEAR1L	PF23301
Pele_DN104197_c0_g1	1	EGF_LMN_ATRN	PF24973
Pele_DN108118_c0_g2	1	UPAR_LY6	PF00021
Pele_DN108118_c0_g2	1	Toxin_TOLIP	PF00087
Pele_DN108118_c0_g2	1	Activin_recp	PF01064
Pele_DN108118_c0_g2	1	DUF753	PF05444
Pele_DN108118_c0_g2	1	GspL_C	PF12693
Pele_DN108118_c0_g2	1	QVR	PF17064
Pele_DN108118_c0_g2	1	Toxin_cobra-type	PF21947
Pele_DN109372_c0_g1	1	PAN_1	PF00024
Pele_DN109372_c0_g1	1	LRR_1	PF00560
Pele_DN109372_c0_g1	1	PAN_2	PF08276
Pele_DN109372_c0_g1	1	PAN_3	PF08277
Pele_DN109372_c0_g1	1	LRR_4	PF12799
Pele_DN109372_c0_g1	1	LRR_5	PF13306
Pele_DN109372_c0_g1	1	LRR_8	PF13855
Pele_DN109372_c0_g1	1	LRR_9	PF14580
Pele_DN109372_c0_g1	1	LRR_NXF1-5	PF24048
Pele_DN110803_c0_g1	1	zf-C2H2	PF00096
Pele_DN110803_c0_g1	1	C1_1	PF00130
Pele_DN110803_c0_g1	1	Zn_ribbon_RPB9	PF02150
Pele_DN110803_c0_g1	1	PyrI_C	PF02748
Pele_DN110803_c0_g1	1	zf-H2C2_2	PF13465
Pele_DN110803_c0_g1	1	zf-C2H2_4	PF13894
Pele_DN110803_c0_g1	1	zf-H2C2_5	PF13909
Pele_DN110803_c0_g1	1	Actin_micro	PF17003
Pele_DN110803_c0_g1	1	Zn_ribbon_PriA	PF18319
Pele_DN110803_c0_g1	1	RIM2a_ZnF	PF22601
Pele_DN110803_c0_g1	1	zf-C2H2_2nd_ZNF462	PF23224
Pele_DN110803_c0_g1	1	zf-C2H2_7th_ZNF462	PF23225
Pele_DN110803_c0_g1	1	Zn_SUZ12	PF23320
Pele_DN110803_c0_g1	1	zf-C2H2_ZNF142_18	PF23574
Pele_DN110803_c0_g1	1	zf-C2H2_16	PF23611
Pele_DN110803_c0_g1	1	Zn_ribbon_TiaS	PF23783
Pele_DN110803_c0_g1	1	zf-C2H2_ZFHX3	PF24056
Pele_DN110803_c0_g1	1	DUF7835	PF25205
Pele_DN110803_c0_g1	1	zf-KKT2_KKT3	PF26235
Pele_DN110803_c0_g1	1	zf-C2H2_CASZ1	PF26743
Pele_DN113949_c0_g1	1	SET	PF00856
Pele_DN114513_c0_g1	1	HMG_box	PF00505
Pele_DN114513_c0_g1	1	HMG_box_2	PF09011
Pele_DN114513_c0_g1	1	DUF6768	PF20556
Pele_DN116002_c0_g1	1	Cyclin_D1_bind	PF12014
Pele_DN116110_c0_g1	1	zf-C2H2	PF00096
Pele_DN116110_c0_g1	1	WD40	PF00400
Pele_DN116110_c0_g1	1	Flu_B_NS1	PF02942
Pele_DN116110_c0_g1	1	DUF1272	PF06906
Pele_DN116110_c0_g1	1	DUF2272	PF10030
Pele_DN116110_c0_g1	1	zf-H2C2_2	PF13465
Pele_DN116110_c0_g1	1	Beta-prop_ACSF4	PF13570
Pele_DN116110_c0_g1	1	zf-C2H2_6	PF13912
Pele_DN116110_c0_g1	1	CPxCG_zf	PF19769
Pele_DN116110_c0_g1	1	NBCH_WD40	PF20426
Pele_DN116110_c0_g1	1	MIOS_WD40	PF21720
Pele_DN116110_c0_g1	1	Beta-prop_NOL10_N	PF23098
Pele_DN116110_c0_g1	1	WD_LRWD1	PF23215
Pele_DN116110_c0_g1	1	WDR90_beta-prop_4th	PF23342
