geneID	cluster	domain	pfam
Pdum_DN10001_c0_g1	1	zf-C2H2	PF00096
Pdum_DN10001_c0_g1	1	Nrf1_DNA-bind	PF10491
Pdum_DN10001_c0_g1	1	AFUB_07903_YDR124W_hel	PF11001
Pdum_DN10001_c0_g1	1	zf-C2H2_jaz	PF12171
Pdum_DN10001_c0_g1	1	Nairovirus_NSm	PF20728
Pdum_DN10039_c0_g1	1	Metallophos	PF00149
Pdum_DN10039_c0_g1	1	Antistasin	PF02822
Pdum_DN10039_c0_g1	1	CwfJ_C_2	PF04676
Pdum_DN10039_c0_g1	1	Metallophos_3	PF14582
Pdum_DN10039_c0_g1	1	Sld3_N	PF18523
Pdum_DN10044_c0_g1	1	zf-C2H2	PF00096
Pdum_DN10044_c0_g1	1	zf-C2H2_jaz	PF12171
Pdum_DN10044_c0_g1	1	zf-met	PF12874
Pdum_DN10044_c0_g1	1	zf-H2C2_2	PF13465
Pdum_DN10044_c0_g1	1	zf-C2H2_4	PF13894
Pdum_DN10044_c0_g1	1	zf-C2H2_6	PF13912
Pdum_DN10044_c0_g1	1	zf-C2HC_2	PF13913
Pdum_DN10044_c0_g1	1	zf-C2H2_3rep	PF18868
Pdum_DN10044_c0_g1	1	Zf-C2H2_ZNF451_C	PF23107
Pdum_DN10044_c0_g1	1	zf-C2H2_15	PF23561
Pdum_DN1006_c0_g1	1	Epimerase	PF01370
Pdum_DN1006_c0_g1	1	Polysacc_synt_2	PF02719
Pdum_DN1006_c0_g1	1	NmrA	PF05368
Pdum_DN1006_c0_g1	1	NAD_binding_4	PF07993
Pdum_DN1008_c0_g1	1	PI-PLC-X	PF00388
Pdum_DN1008_c0_g1	1	GDPD_2	PF13653
Pdum_DN1011_c0_g2	1	NST1	PF13945
Pdum_DN10132_c0_g1	1	F-box	PF00646
Pdum_DN10132_c0_g1	1	Kelch_1	PF01344
Pdum_DN10132_c0_g1	1	Kelch_2	PF07646
Pdum_DN10132_c0_g1	1	Beta-prop_TYW4	PF13418
Pdum_DN10132_c0_g1	1	Kelch_HCF	PF13854
Pdum_DN10132_c0_g1	1	Beta-prop_Calicin	PF13964
Pdum_DN10132_c0_g1	1	F-box_4	PF15966
Pdum_DN10132_c0_g1	1	Kelch_KLHDC2_KLHL20_DRC7	PF24681
Pdum_DN10132_c0_g1	1	Beta-prop_ATRN-LZTR1	PF24981
Pdum_DN10132_c0_g1	1	NANM	PF24996
Pdum_DN10132_c0_g1	1	Kelch_FKB95	PF25210
Pdum_DN10132_c0_g1	1	DUF6242_C	PF25852
Pdum_DN10152_c2_g1	1	Sec8_N	PF04048
Pdum_DN10152_c2_g1	1	Mg296	PF09644
Pdum_DN10152_c2_g1	1	CA109-like	PF15011
Pdum_DN10152_c2_g1	1	DUF5856	PF19174
Pdum_DN10152_c2_g1	1	EXOC6_Sec15_N	PF20651
Pdum_DN10169_c0_g1	1	Tetraspanin	PF00335
Pdum_DN10169_c0_g1	1	OppC_N	PF12911
Pdum_DN10187_c0_g1	1	LRR_2	PF07723
Pdum_DN10187_c0_g1	1	LRR_4	PF12799
Pdum_DN10187_c0_g1	1	F-box-like	PF12937
Pdum_DN10187_c0_g1	1	LRR_6	PF13516
Pdum_DN10187_c0_g1	1	LRR_At5g56370	PF24758
Pdum_DN10187_c0_g1	1	LRR_Zer-1	PF25013
Pdum_DN10187_c0_g1	1	LRR_FBXL15	PF25372
Pdum_DN10187_c0_g1	1	LRR_TMOD-LMOD	PF27087
Pdum_DN10187_c0_g1	1	DUF1699_N	PF28505
Pdum_DN101999_c0_g1	1	zf-RVT	PF13966
Pdum_DN1027_c0_g1	1	PX	PF00787
Pdum_DN1027_c0_g1	1	Bacillus_HBL	PF05791
Pdum_DN1027_c0_g1	1	FAM92	PF06730
Pdum_DN1027_c0_g1	1	Vps5	PF09325
Pdum_DN10298_c0_g1	1	SOCS_box	PF07525
Pdum_DN10310_c0_g1	1	LRR_1	PF00560
Pdum_DN10310_c0_g1	1	F-box	PF00646
