"geneID"	"sources"
"Amar_DN104019_c0_g1"	"Domain"
"Amar_DN105677_c0_g1"	"Domain"
"Amar_DN106123_c0_g1"	"Domain"
"Amar_DN109346_c0_g1"	"Domain"
"Amar_DN115982_c0_g1"	"Domain"
"Amar_DN1159_c0_g2"	"Domain"
"Amar_DN122542_c0_g1"	"Domain"
"Amar_DN12520_c0_g1"	"Domain"
"Amar_DN12577_c1_g1"	"Domain"
"Amar_DN12640_c0_g1"	"Domain"
"Amar_DN127894_c0_g1"	"Domain"
"Amar_DN128085_c0_g1"	"Domain"
"Amar_DN13023_c0_g1"	"Domain"
"Amar_DN130718_c0_g1"	"Domain"
"Amar_DN13075_c0_g1"	"Domain"
"Amar_DN13111_c0_g1"	"Domain"
"Amar_DN14256_c0_g1"	"Domain"
"Amar_DN143243_c0_g1"	"Domain"
"Amar_DN144702_c0_g1"	"Domain"
"Amar_DN145404_c0_g1"	"Domain"
"Amar_DN146134_c0_g1"	"Domain"
"Amar_DN162201_c0_g1"	"Domain"
"Amar_DN162497_c0_g1"	"Domain"
"Amar_DN162648_c0_g1"	"Domain"
"Amar_DN167011_c0_g1"	"Domain"
"Amar_DN18524_c0_g1"	"Domain"
"Amar_DN19833_c0_g1"	"Domain"
"Amar_DN19967_c0_g1"	"Domain"
"Amar_DN2009_c0_g1"	"Domain"
"Amar_DN20413_c0_g1"	"Domain"
"Amar_DN20413_c0_g2"	"Domain"
"Amar_DN20484_c0_g1"	"Domain"
"Amar_DN20570_c0_g1"	"Domain"
"Amar_DN20834_c0_g1"	"Domain"
"Amar_DN20936_c0_g1"	"Domain"
"Amar_DN21736_c0_g1"	"Domain"
"Amar_DN22561_c0_g2"	"Domain"
"Amar_DN24709_c0_g1"	"Domain"
"Amar_DN25009_c0_g1"	"Domain"
"Amar_DN2719_c0_g1"	"Domain"
"Amar_DN277_c0_g1"	"Domain"
"Amar_DN28486_c0_g1"	"Domain"
"Amar_DN28587_c0_g1"	"Domain"
"Amar_DN29211_c0_g1"	"Domain"
"Amar_DN29511_c0_g1"	"Domain"
"Amar_DN29596_c0_g1"	"Domain"
"Amar_DN29922_c0_g1"	"Domain"
"Amar_DN29928_c0_g1"	"Domain"
"Amar_DN29990_c0_g2"	"Domain"
"Amar_DN30354_c0_g1"	"Domain"
"Amar_DN30435_c0_g1"	"Domain"
"Amar_DN30516_c0_g1"	"Domain"
"Amar_DN30715_c0_g1"	"Domain"
"Amar_DN30916_c0_g1"	"Domain"
"Amar_DN30932_c0_g1"	"Domain"
"Amar_DN31318_c0_g3"	"Domain"
"Amar_DN31941_c0_g1"	"Domain"
"Amar_DN32079_c0_g1"	"Domain"
"Amar_DN32152_c0_g1"	"Domain"
"Amar_DN32719_c0_g1"	"Domain"
"Amar_DN32943_c1_g1"	"Domain"
"Amar_DN33546_c0_g1"	"Domain"
"Amar_DN33628_c0_g1"	"Domain"
"Amar_DN34246_c0_g1"	"Domain"
"Amar_DN34342_c0_g1"	"Domain"
"Amar_DN35247_c0_g1"	"Domain"
"Amar_DN35334_c0_g1"	"Domain"
"Amar_DN35489_c0_g1"	"Domain"
"Amar_DN36948_c0_g1"	"Domain"
"Amar_DN37104_c1_g1"	"Domain"
"Amar_DN39289_c0_g1"	"Domain"
"Amar_DN39328_c0_g1"	"Domain"
"Amar_DN39352_c1_g1"	"Domain"
"Amar_DN39478_c0_g1"	"Domain"
"Amar_DN39551_c0_g1"	"Domain"
"Amar_DN39850_c0_g1"	"Domain"
"Amar_DN40259_c0_g1"	"Domain"
"Amar_DN40259_c0_g2"	"Domain"
"Amar_DN40259_c0_g5"	"Domain"
"Amar_DN40325_c0_g2"	"Domain"
"Amar_DN40371_c0_g1"	"Domain"
"Amar_DN40566_c0_g2"	"Domain"
"Amar_DN40762_c0_g1"	"Domain"
"Amar_DN40898_c1_g1"	"Domain"
"Amar_DN41130_c0_g1"	"Domain"
"Amar_DN41202_c0_g1"	"Domain"
"Amar_DN41384_c0_g1"	"Domain"
"Amar_DN41521_c0_g1"	"Domain"
"Amar_DN41995_c0_g3"	"Domain"
"Amar_DN42084_c0_g1"	"Domain"
"Amar_DN42610_c0_g1"	"Domain"
"Amar_DN42788_c0_g1"	"Domain"
"Amar_DN42842_c0_g1"	"Domain"
"Amar_DN43212_c0_g1"	"Domain"
"Amar_DN43538_c0_g1"	"Domain"
"Amar_DN44018_c0_g2"	"Domain"
"Amar_DN44027_c0_g1"	"Domain"
"Amar_DN44063_c0_g1"	"Domain"
"Amar_DN44109_c0_g1"	"Domain"
"Amar_DN44634_c0_g3"	"Domain"
"Amar_DN44806_c0_g1"	"Domain"
"Amar_DN44823_c0_g1"	"Domain"
"Amar_DN45246_c0_g2"	"Domain"
"Amar_DN45444_c0_g1"	"Domain"
"Amar_DN45490_c0_g1"	"Domain"
"Amar_DN45511_c0_g1"	"Domain"
"Amar_DN45716_c0_g1"	"Domain"
"Amar_DN46026_c0_g1"	"Domain"
