geneID	cluster	domain	pfam
Amar_DN104019_c0_g1	1	UPAR_LY6	PF00021
Amar_DN104019_c0_g1	1	Activin_recp	PF01064
Amar_DN104019_c0_g1	1	DUF753	PF05444
Amar_DN104019_c0_g1	1	QVR	PF17064
Amar_DN10455_c0_g1	1	YVC1_C	PF23317
Amar_DN109346_c0_g1	1	LRR_1	PF00560
Amar_DN109346_c0_g1	1	LRR_4	PF12799
Amar_DN109346_c0_g1	1	LRR_5	PF13306
Amar_DN109346_c0_g1	1	LRR_8	PF13855
Amar_DN109346_c0_g1	1	LRR_9	PF14580
Amar_DN109346_c0_g1	1	LRR_LRWD1	PF23211
Amar_DN109346_c0_g1	1	LRR_14	PF23598
Amar_DN109346_c0_g1	1	LRR_At5g56370	PF24758
Amar_DN11555_c0_g1	1	CD225	PF04505
Amar_DN11555_c0_g1	1	Phage_holin_3_6	PF07332
Amar_DN11555_c0_g1	1	MamF_MmsF	PF09685
Amar_DN11555_c0_g1	1	DUF2207_C	PF20990
Amar_DN127894_c0_g1	1	Collagen	PF01391
Amar_DN13392_c0_g1	1	Band_7	PF01145
Amar_DN13392_c0_g1	1	DivIVA	PF05103
Amar_DN13392_c0_g1	1	FlgN	PF05130
Amar_DN13392_c0_g1	1	SCAB_CC	PF16712
Amar_DN141551_c0_g1	1	TMEM154	PF15102
Amar_DN141551_c0_g1	1	IncE	PF17627
Amar_DN14272_c0_g1	1	ISK_Channel	PF02060
Amar_DN14272_c0_g1	1	CrgA	PF06781
Amar_DN14272_c0_g1	1	TMEM154	PF15102
Amar_DN14272_c0_g1	1	C3orf18_N	PF27898
Amar_DN143243_c0_g1	1	UPAR_LY6	PF00021
Amar_DN143243_c0_g1	1	Toxin_TOLIP	PF00087
Amar_DN143243_c0_g1	1	Activin_recp	PF01064
Amar_DN143243_c0_g1	1	HtrL_YibB	PF09612
Amar_DN143243_c0_g1	1	UPAR_LY6_2	PF16975
Amar_DN143243_c0_g1	1	QVR	PF17064
Amar_DN144702_c0_g1	1	PAN_1	PF00024
Amar_DN144702_c0_g1	1	LRR_1	PF00560
Amar_DN144702_c0_g1	1	LRR_4	PF12799
Amar_DN144702_c0_g1	1	LRR_8	PF13855
Amar_DN144702_c0_g1	1	PAN_4	PF14295
Amar_DN144702_c0_g1	1	LRR_9	PF14580
Amar_DN144702_c0_g1	1	LRR_14	PF23598
Amar_DN144702_c0_g1	1	LRR_NXF1-5	PF24048
Amar_DN146134_c0_g1	1	zf-C2H2	PF00096
Amar_DN146134_c0_g1	1	zf-BED	PF02892
Amar_DN146134_c0_g1	1	Endonuclease_7	PF02945
Amar_DN146134_c0_g1	1	DUF629	PF04780
Amar_DN146134_c0_g1	1	zf-Di19	PF05605
Amar_DN146134_c0_g1	1	C1_4	PF07975
Amar_DN146134_c0_g1	1	zf-Vps39_C	PF10367
Amar_DN146134_c0_g1	1	zf-C2H2_jaz	PF12171
Amar_DN146134_c0_g1	1	zf-C2H2_2	PF12756
Amar_DN146134_c0_g1	1	zf-met	PF12874
Amar_DN146134_c0_g1	1	zf-H2C2_2	PF13465
Amar_DN146134_c0_g1	1	zf-C2H2_4	PF13894
Amar_DN146134_c0_g1	1	zf-C2H2_6	PF13912
