geneID	cluster	domain	pfam
Pdum_DN10074_c0_g1	1	7tm_1	PF00001
Pdum_DN10123_c0_g1	1	Kelch_1	PF01344
Pdum_DN10123_c0_g1	1	RAG2	PF03089
Pdum_DN10123_c0_g1	1	Kelch_2	PF07646
Pdum_DN10123_c0_g1	1	Beta-prop_FBX42	PF13415
Pdum_DN10123_c0_g1	1	Kelch_HCF	PF13854
Pdum_DN10123_c0_g1	1	Beta-prop_ATRN-LZTR1	PF24981
Pdum_DN10123_c0_g1	1	NANM	PF24996
Pdum_DN10123_c0_g1	1	Kelch_FKB95	PF25210
Pdum_DN10132_c0_g1	1	F-box	PF00646
Pdum_DN10132_c0_g1	1	Kelch_1	PF01344
Pdum_DN10132_c0_g1	1	Kelch_2	PF07646
Pdum_DN10132_c0_g1	1	Beta-prop_TYW4	PF13418
Pdum_DN10132_c0_g1	1	Kelch_HCF	PF13854
Pdum_DN10132_c0_g1	1	Beta-prop_Calicin	PF13964
Pdum_DN10132_c0_g1	1	F-box_4	PF15966
Pdum_DN10132_c0_g1	1	Kelch_KLHDC2_KLHL20_DRC7	PF24681
Pdum_DN10132_c0_g1	1	Beta-prop_ATRN-LZTR1	PF24981
Pdum_DN10132_c0_g1	1	NANM	PF24996
Pdum_DN10132_c0_g1	1	Kelch_FKB95	PF25210
Pdum_DN10132_c0_g1	1	DUF6242_C	PF25852
Pdum_DN101661_c0_g1	1	EGF_laminin	PF00053
Pdum_DN101661_c0_g1	1	Syndecan	PF01034
Pdum_DN101661_c0_g1	1	VSTM5_C	PF28389
Pdum_DN1026_c0_g1	1	zf-C3HC4	PF00097
Pdum_DN1026_c0_g1	1	Zn_ribbon_9	PF02591
Pdum_DN1026_c0_g1	1	Rtf2	PF04641
Pdum_DN1026_c0_g1	1	Laminin_II	PF06009
Pdum_DN1026_c0_g1	1	MUN	PF06292
Pdum_DN1026_c0_g1	1	CTLH	PF10607
Pdum_DN1026_c0_g1	1	zf-RING_UBOX	PF13445
Pdum_DN1026_c0_g1	1	zf-RING_2	PF13639
Pdum_DN10371_c0_g1	1	Death	PF00531
Pdum_DN10371_c0_g1	1	GlutR_dimer	PF00745
Pdum_DN10371_c0_g1	1	Phe_tRNA-synt_N	PF02912
Pdum_DN10371_c0_g1	1	Nbl1_Borealin_N	PF10444
Pdum_DN10371_c0_g1	1	DUF4168	PF13767
Pdum_DN10371_c0_g1	1	BAR_3	PF16746
Pdum_DN10371_c0_g1	1	DUF5764	PF19068
Pdum_DN10371_c0_g1	1	bDLD3	PF20690
Pdum_DN10371_c0_g1	1	DUF6870	PF21757
Pdum_DN10371_c0_g1	1	cas_Cpf1_2nd	PF21918
Pdum_DN10371_c0_g1	1	RAG1_RNase_H	PF26100
Pdum_DN10371_c0_g1	1	B_anthracis_pXO2_26	PF27053
Pdum_DN10371_c0_g1	1	CiaI	PF28048
Pdum_DN10376_c0_g1	1	Tcell_CD4_C	PF12104
Pdum_DN10376_c0_g1	1	EphA2_TM	PF14575
Pdum_DN10376_c0_g1	1	TMEM154	PF15102
Pdum_DN10376_c0_g1	1	Cadherin_C_2	PF16492
Pdum_DN10376_c0_g1	1	TM_ErbB1	PF21314
Pdum_DN104_c0_g1	1	Trefoil	PF00088
Pdum_DN104_c0_g1	1	SRCR	PF00530
Pdum_DN104_c0_g1	1	Hepsin-SRCR	PF09272
Pdum_DN104_c0_g1	1	YecR	PF13992
Pdum_DN104_c0_g1	1	SRCR_2	PF15494
Pdum_DN104_c0_g1	1	WHD_MCM3_C	PF23191
Pdum_DN104_c0_g1	1	WDR55	PF24796
Pdum_DN10671_c0_g1	1	PHD	PF00628
Pdum_DN10671_c0_g1	1	Exo_endo_phos	PF03372
Pdum_DN10671_c0_g1	1	NADAR	PF08719
Pdum_DN10730_c0_g1	1	EGF	PF00008
Pdum_DN10730_c0_g1	1	Laminin_G_1	PF00054
Pdum_DN10730_c0_g1	1	WD40	PF00400
Pdum_DN10730_c0_g1	1	Laminin_G_2	PF02210
Pdum_DN10730_c0_g1	1	3keto-disac_hyd	PF06439
Pdum_DN10730_c0_g1	1	Nucleo_P87	PF07267
Pdum_DN10730_c0_g1	1	Beta-prop_Nup120_160	PF11715
Pdum_DN10730_c0_g1	1	ANAPC4_WD40	PF12894
Pdum_DN10730_c0_g1	1	Laminin_G_3	PF13385
Pdum_DN10730_c0_g1	1	Beta-prop_ACSF4	PF13570
