geneID	cluster	domain	pfam
Pele_DN100871_c0_g1	1	PAN_2	PF08276
Pele_DN100894_c0_g2	1	CcmD	PF04995
Pele_DN100894_c0_g2	1	Bestrophin-like	PF14023
Pele_DN102987_c0_g1	1	Ank	PF00023
Pele_DN102987_c0_g1	1	ScdA_N	PF04405
Pele_DN102987_c0_g1	1	Ank_2	PF12796
Pele_DN102987_c0_g1	1	Ank_3	PF13606
Pele_DN102987_c0_g1	1	Ank_4	PF13637
Pele_DN102987_c0_g1	1	Glyoxalase_4	PF13669
Pele_DN102987_c0_g1	1	Ank_5	PF13857
Pele_DN102987_c0_g1	1	LysM_RLK	PF23577
Pele_DN102987_c0_g1	1	T4SS_AnkD	PF28177
Pele_DN103790_c0_g1	1	Ldl_recept_a	PF00057
Pele_DN104197_c0_g1	1	EGF_laminin	PF00053
Pele_DN104197_c0_g1	1	EGF_PEAR1L	PF23301
Pele_DN104197_c0_g1	1	EGF_LMN_ATRN	PF24973
Pele_DN105384_c0_g1	1	PAN_1	PF00024
Pele_DN105384_c0_g1	1	F5_F8_type_C	PF00754
Pele_DN105384_c0_g1	1	F5_F8_type_C_2	PF22633
Pele_DN105805_c0_g1	1	SporV_AA	PF12164
Pele_DN105805_c0_g1	1	SAS4	PF15460
Pele_DN105805_c0_g1	1	DUF6076	PF19553
Pele_DN106169_c0_g1	1	PAN_1	PF00024
Pele_DN106966_c0_g1	1	IL6Ra-bind	PF09240
Pele_DN106966_c0_g1	1	Interfer-bind	PF09294
Pele_DN106966_c0_g1	1	CRLF2_D1	PF21604
Pele_DN106966_c0_g1	1	TSLPR_D1	PF22012
Pele_DN106966_c0_g1	1	MtxA_IG-like	PF22433
Pele_DN106966_c0_g1	1	Ig_J	PF24421
Pele_DN107509_c1_g3	1	Sushi	PF00084
Pele_DN107509_c1_g3	1	TM_ErbB1	PF21314
Pele_DN107965_c0_g2	1	Pentaxin	PF00354
Pele_DN107965_c0_g2	1	PAN_3	PF08277
Pele_DN107965_c0_g2	1	PAN_4	PF14295
Pele_DN107978_c0_g3	1	F5_F8_type_C	PF00754
Pele_DN107978_c0_g3	1	PAN_2	PF08276
Pele_DN107978_c0_g3	1	PAN_4	PF14295
Pele_DN109281_c0_g2	1	Pox_A14	PF05767
Pele_DN109281_c0_g2	1	Baculo_11_kDa	PF06143
Pele_DN109281_c0_g2	1	GAPT	PF11770
Pele_DN109281_c0_g2	1	Comm	PF15957
Pele_DN109372_c0_g1	1	PAN_1	PF00024
Pele_DN109372_c0_g1	1	LRR_1	PF00560
Pele_DN109372_c0_g1	1	PAN_2	PF08276
Pele_DN109372_c0_g1	1	PAN_3	PF08277
Pele_DN109372_c0_g1	1	LRR_4	PF12799
Pele_DN109372_c0_g1	1	LRR_5	PF13306
Pele_DN109372_c0_g1	1	LRR_8	PF13855
Pele_DN109372_c0_g1	1	LRR_9	PF14580
Pele_DN109372_c0_g1	1	LRR_NXF1-5	PF24048
Pele_DN109718_c0_g1	1	PAN_1	PF00024
Pele_DN109718_c0_g1	1	PAN_4	PF14295
Pele_DN110024_c0_g1	1	Lectin_C	PF00059
Pele_DN110024_c0_g1	1	TSP1_ADAMTS	PF19030
Pele_DN110260_c0_g2	1	PAN_1	PF00024
Pele_DN110260_c0_g2	1	tSAM_targ_Cxxx_rpt	PF27846
Pele_DN110357_c0_g4	1	Acetyltransf_CG	PF14542
Pele_DN112448_c0_g1	1	PAN_1	PF00024
Pele_DN112448_c0_g1	1	UL45	PF05473
Pele_DN113097_c0_g3	1	EF-hand_1	PF00036
Pele_DN113097_c0_g3	1	Dockerin_1	PF00404
Pele_DN113097_c0_g3	1	SPARC_Ca_bdg	PF10591
Pele_DN113097_c0_g3	1	EF-hand_5	PF13202
Pele_DN113097_c0_g3	1	EF-hand_6	PF13405
Pele_DN113097_c0_g3	1	EF-hand_7	PF13499
Pele_DN113097_c0_g3	1	EF-hand_8	PF13833
Pele_DN113097_c0_g3	1	Jag_N	PF14804
Pele_DN113097_c0_g3	1	APC_u15	PF16636
Pele_DN113097_c0_g3	1	FCaBP_EF-hand	PF22592
Pele_DN113097_c0_g3	1	EF-hand_FSTL1	PF23564
Pele_DN113097_c0_g3	1	EF-hand_STIM1	PF25578
Pele_DN113097_c0_g3	1	Spectrin_SYNE1_2	PF25803
Pele_DN113237_c0_g1	1	Arf	PF00025
Pele_DN113237_c0_g1	1	F-box	PF00646
Pele_DN113237_c0_g1	1	RNA_pol_Rpc82	PF05645
Pele_DN113237_c0_g1	1	Elongin_A	PF06881
Pele_DN113949_c0_g1	1	SET	PF00856
Pele_DN114089_c1_g2	1	EF-hand_1	PF00036
Pele_DN114089_c1_g2	1	WzyE	PF06899
Pele_DN114089_c1_g2	1	EF-hand_5	PF13202
Pele_DN114089_c1_g2	1	EF-hand_6	PF13405
Pele_DN114089_c1_g2	1	EF-hand_7	PF13499
Pele_DN114089_c1_g2	1	EF-hand_8	PF13833
Pele_DN114408_c0_g1	1	Ank	PF00023
Pele_DN114408_c0_g1	1	Ank_2	PF12796
Pele_DN114408_c0_g1	1	Ank_3	PF13606
Pele_DN114408_c0_g1	1	Ank_4	PF13637
Pele_DN114408_c0_g1	1	Ank_5	PF13857
Pele_DN114408_c0_g1	1	Ank_KRIT1	PF24521
Pele_DN114513_c0_g1	1	HMG_box	PF00505
Pele_DN114513_c0_g1	1	HMG_box_2	PF09011
Pele_DN114513_c0_g1	1	DUF6768	PF20556
Pele_DN114911_c0_g1	1	Acetyltransf_1	PF00583
Pele_DN114911_c0_g1	1	FR47	PF08445
Pele_DN114911_c0_g1	1	Acetyltransf_3	PF13302
Pele_DN115249_c0_g2	1	SelP_N	PF04592
Pele_DN115492_c0_g1	1	PAN_1	PF00024
Pele_DN115492_c0_g1	1	Lectin_C	PF00059
Pele_DN115492_c0_g1	1	CUB_M02D8_5_1st	PF23060
Pele_DN115712_c0_g1	1	Nucleotid_trans	PF03407
Pele_DN115712_c0_g1	1	DUF4123	PF13503
Pele_DN115843_c1_g1	1	PAN_1	PF00024
Pele_DN115843_c1_g1	1	PAN_3	PF08277
Pele_DN115843_c1_g1	1	Peptidase_C74	PF12387
Pele_DN115843_c1_g1	1	PAN_4	PF14295
Pele_DN115884_c0_g1	1	Ctr	PF04145
Pele_DN115884_c0_g1	1	DUF1180	PF06679
Pele_DN115884_c0_g1	1	DUF7828	PF25165
Pele_DN116003_c0_g1	1	Lectin_C	PF00059
Pele_DN116110_c0_g1	1	zf-C2H2	PF00096
Pele_DN116110_c0_g1	1	WD40	PF00400
Pele_DN116110_c0_g1	1	Flu_B_NS1	PF02942
Pele_DN116110_c0_g1	1	DUF1272	PF06906
Pele_DN116110_c0_g1	1	DUF2272	PF10030
Pele_DN116110_c0_g1	1	zf-H2C2_2	PF13465
Pele_DN116110_c0_g1	1	Beta-prop_ACSF4	PF13570
Pele_DN116110_c0_g1	1	zf-C2H2_6	PF13912
Pele_DN116110_c0_g1	1	CPxCG_zf	PF19769
Pele_DN116110_c0_g1	1	NBCH_WD40	PF20426
Pele_DN116110_c0_g1	1	MIOS_WD40	PF21720
Pele_DN116110_c0_g1	1	Beta-prop_NOL10_N	PF23098
Pele_DN116110_c0_g1	1	WD_LRWD1	PF23215
Pele_DN116110_c0_g1	1	WDR90_beta-prop_4th	PF23342
Pele_DN116110_c0_g1	1	Beta-prop_IFT122_1st	PF23381
Pele_DN116110_c0_g1	1	Beta-prop_WDR90_POC16_2nd	PF23393
Pele_DN116110_c0_g1	1	Beta-prop_EML	PF23409
Pele_DN116110_c0_g1	1	Beta-prop_EML_2	PF23414
Pele_DN116110_c0_g1	1	WD40_RFWD3	PF23419
Pele_DN116110_c0_g1	1	Beta-prop_NWD2_C	PF23586
Pele_DN116110_c0_g1	1	Beta-prop_EIPR1	PF23609
Pele_DN116110_c0_g1	1	Beta-prop_DCAF4	PF23761
Pele_DN116110_c0_g1	1	Beta-prop_RIG_2nd	PF23775
Pele_DN116110_c0_g1	1	Beta-prop_SPT8	PF23798
Pele_DN116110_c0_g1	1	Beta-prop_WDR75_1st	PF23869
Pele_DN116110_c0_g1	1	Beta-prop_SCAP	PF24017
Pele_DN116110_c0_g1	1	Beta-prop_CAF1B_HIR1	PF24105
Pele_DN116110_c0_g1	1	WD40_MABP1-WDR62_1st	PF24780
Pele_DN116110_c0_g1	1	WD40_MABP1-WDR62_2nd	PF24782
Pele_DN116110_c0_g1	1	WDR55	PF24796
Pele_DN116110_c0_g1	1	EIF3I	PF24805
Pele_DN116110_c0_g1	1	WD40_CDC20-Fz	PF24807
Pele_DN116110_c0_g1	1	WD40_WDHD1_1st	PF24817
Pele_DN116110_c0_g1	1	Beta-prop_TEP1_C	PF25048
Pele_DN116110_c0_g1	1	Beta-prop_WDR36-Utp21_2nd	PF25168
Pele_DN116110_c0_g1	1	Beta-prop_WDR36-Utp21_1st	PF25171
Pele_DN116110_c0_g1	1	Beta-prop_WDR3_1st	PF25173
Pele_DN116110_c0_g1	1	Beta-prop_THOC3	PF25174
Pele_DN116110_c0_g1	1	Beta-prop_WDR5	PF25175
Pele_DN116110_c0_g1	1	Beta-prop_WDR41	PF25178
Pele_DN116110_c0_g1	1	Beta-prop_Aladin	PF25460
Pele_DN116534_c0_g1	1	EGF_PEAR1L	PF23301
Pele_DN116615_c0_g1	1	Lactamase_B_2	PF12706
Pele_DN116615_c0_g1	1	ODP	PF19583
Pele_DN116615_c0_g1	1	Anti-Pycsar_Apyc1	PF23023
Pele_DN117147_c0_g1	1	PAN_1	PF00024
Pele_DN117147_c0_g1	1	LRR_1	PF00560
Pele_DN117147_c0_g1	1	PAN_2	PF08276
Pele_DN117147_c0_g1	1	PAN_3	PF08277
Pele_DN117147_c0_g1	1	LRR_4	PF12799
Pele_DN117147_c0_g1	1	LRR_6	PF13516
Pele_DN117147_c0_g1	1	LRR_8	PF13855
Pele_DN117147_c0_g1	1	PAN_4	PF14295
Pele_DN117147_c0_g1	1	LRR_9	PF14580
Pele_DN117147_c0_g1	1	LRR_LRWD1	PF23211
Pele_DN117147_c0_g1	1	LRR_14	PF23598
Pele_DN117147_c0_g1	1	LRR_EndoS	PF23952
Pele_DN118289_c0_g2	1	zf-C2H2	PF00096
Pele_DN118289_c0_g2	1	PHD	PF00628
Pele_DN118289_c0_g2	1	zf-Sec23_Sec24	PF04810
Pele_DN118289_c0_g2	1	Zn_ribbon_Elf1	PF05129
Pele_DN118289_c0_g2	1	DpnI	PF06044
Pele_DN118289_c0_g2	1	zf-LYAR	PF08790
Pele_DN118289_c0_g2	1	Ta0938	PF11494
Pele_DN118289_c0_g2	1	zf-C2H2_jaz	PF12171
Pele_DN118289_c0_g2	1	zf-C2H2_2	PF12756
Pele_DN118289_c0_g2	1	zf-met	PF12874
Pele_DN118289_c0_g2	1	zf-H2C2_2	PF13465
Pele_DN118289_c0_g2	1	zf-C2H2_4	PF13894
Pele_DN118289_c0_g2	1	zf-C2H2_6	PF13912
Pele_DN118289_c0_g2	1	zf_ZIC	PF18366
Pele_DN118289_c0_g2	1	PHD_ash2p_like	PF21257
Pele_DN118289_c0_g2	1	B129_C2H2-zf	PF22034
Pele_DN118289_c0_g2	1	Zf-C2H2_ZNF451	PF23108
Pele_DN118289_c0_g2	1	DUF7479	PF24292
Pele_DN118289_c0_g2	1	DUF7565	PF24446
Pele_DN118656_c0_g1	1	Toxin_TOLIP	PF00087
Pele_DN119052_c0_g1	1	7tm_1	PF00001
Pele_DN119052_c0_g1	1	BRI3	PF10164
Pele_DN119052_c0_g1	1	7TM_GPCR_Srsx	PF10320
Pele_DN119052_c0_g1	1	DUF2615	PF11027
Pele_DN119052_c0_g1	1	Hemotin	PF21944
Pele_DN119108_c1_g1	1	Ank	PF00023
Pele_DN119108_c1_g1	1	Ank_2	PF12796
Pele_DN119108_c1_g1	1	Ank_3	PF13606
Pele_DN119108_c1_g1	1	Ank_4	PF13637
Pele_DN119108_c1_g1	1	Ank_5	PF13857
Pele_DN119108_c1_g1	1	ANK_LRRK2	PF23745
Pele_DN119108_c1_g1	1	Ank_KRIT1	PF24521
Pele_DN119369_c0_g2	1	Fibrinogen_C	PF00147
Pele_DN119369_c0_g2	1	EGF_Teneurin	PF23106
Pele_DN119450_c0_g1	1	Endo_dU	PF01949
Pele_DN119450_c0_g1	1	Mito_fiss_reg	PF05308
Pele_DN119450_c0_g1	1	Tup_N	PF08581
Pele_DN119450_c0_g1	1	TMCO5	PF14992
Pele_DN119450_c0_g1	1	SKA2	PF16740
Pele_DN119450_c0_g1	1	LodA_N	PF17990
Pele_DN119473_c0_g1	1	Epigen_C	PF28398
Pele_DN120150_c1_g1	1	PAN_1	PF00024
Pele_DN120150_c1_g1	1	PAN_2	PF08276
Pele_DN120150_c1_g1	1	Laminin_G_3	PF13385
Pele_DN120150_c1_g1	1	PAN_4	PF14295
Pele_DN120532_c0_g1	1	COX6B	PF02297
Pele_DN120532_c0_g1	1	THOC7	PF05615
Pele_DN120532_c0_g1	1	NDUF_B7	PF05676
Pele_DN120532_c0_g1	1	CHCH	PF06747
Pele_DN120532_c0_g1	1	MABP	PF10240
Pele_DN121160_c0_g1	1	Ubie_methyltran	PF01209
Pele_DN121160_c0_g1	1	MetW	PF07021
Pele_DN121160_c0_g1	1	Methyltransf_11	PF08241
Pele_DN121160_c0_g1	1	Asparaginase_C	PF17763
Pele_DN121575_c0_g1	1	PrgI_like	PF26592
Pele_DN121716_c0_g1	1	UPAR_LY6	PF00021
Pele_DN122092_c0_g1	1	BRCT	PF00533
Pele_DN122092_c0_g1	1	RRF	PF01765
Pele_DN122092_c0_g1	1	CCDC-167	PF15188
Pele_DN122092_c0_g1	1	OVT1	PF24423
Pele_DN122381_c0_g1	1	cNMP_binding	PF00027
Pele_DN122621_c0_g1	1	IL17	PF06083
Pele_DN123210_c0_g1	1	Collagen	PF01391
Pele_DN123233_c2_g1	1	zf-C2H2_14	PF23330
Pele_DN123545_c0_g1	1	IL1	PF00340
Pele_DN123545_c0_g1	1	AbfB	PF05270
Pele_DN124231_c0_g2	1	Exonuc_VII_L	PF02601
Pele_DN124231_c0_g2	1	Neur_chan_memb	PF02932
Pele_DN124231_c0_g2	1	DUF922	PF06037
Pele_DN124231_c0_g2	1	EHN	PF06441
Pele_DN124231_c0_g2	1	IMD	PF08397
Pele_DN124231_c0_g2	1	DUF4407	PF14362
Pele_DN124231_c0_g2	1	MreB-like_C	PF21522
Pele_DN124231_c0_g2	1	MMSYN1_0478	PF28190
Pele_DN124425_c0_g1	1	EF-hand_1	PF00036
Pele_DN124425_c0_g1	1	Dockerin_1	PF00404
Pele_DN124425_c0_g1	1	SPARC_Ca_bdg	PF10591
Pele_DN124425_c0_g1	1	EF-hand_5	PF13202
Pele_DN124425_c0_g1	1	EF-hand_6	PF13405
Pele_DN124425_c0_g1	1	EF-hand_8	PF13833
Pele_DN124425_c0_g1	1	FCaBP_EF-hand	PF22592
Pele_DN124425_c0_g1	1	EF-hand_FSTL1	PF23564
Pele_DN124425_c0_g1	1	DUF7151	PF23657
Pele_DN124769_c0_g1	1	WD40	PF00400
Pele_DN124769_c0_g1	1	Calmodulin_bind	PF07887
Pele_DN124769_c0_g1	1	Beta-prop_Nup120_160	PF11715
Pele_DN124769_c0_g1	1	ANAPC4_WD40	PF12894
Pele_DN124769_c0_g1	1	Beta-prop_ACSF4	PF13570
Pele_DN124769_c0_g1	1	BBS2_Mid	PF14783
Pele_DN124769_c0_g1	1	Ge1_WD40	PF16529
Pele_DN124769_c0_g1	1	Beta-prop_NUP159_NUP214	PF16755
Pele_DN124769_c0_g1	1	WD40_like	PF17005
Pele_DN124769_c0_g1	1	NBCH_WD40	PF20426
Pele_DN124769_c0_g1	1	RMC1_N	PF21029
Pele_DN124769_c0_g1	1	WDR54	PF21031
Pele_DN124769_c0_g1	1	PROPPIN	PF21032
Pele_DN124769_c0_g1	1	RNR-II_ins_dom	PF21995
Pele_DN124769_c0_g1	1	Beta-prop_IFT80_2nd	PF23335
Pele_DN124769_c0_g1	1	WDR90_beta-prop_4th	PF23342
Pele_DN124769_c0_g1	1	Beta-prop_IFT122_1st	PF23381
Pele_DN124769_c0_g1	1	Beta-prop_IFT140_1st	PF23383
Pele_DN124769_c0_g1	1	Beta-prop_IFT140_2nd	PF23385
Pele_DN124769_c0_g1	1	Beta-prop_WDR19_1st	PF23389
Pele_DN124769_c0_g1	1	Beta-prop_WDR90_POC16_2nd	PF23393
Pele_DN124769_c0_g1	1	Beta-prop_VPS8	PF23410
Pele_DN124769_c0_g1	1	Beta-prop_Vps41	PF23411
Pele_DN124769_c0_g1	1	Beta-prop_EML_2	PF23414
Pele_DN124769_c0_g1	1	WD40_RFWD3	PF23419
Pele_DN124769_c0_g1	1	Beta-prop_EIPR1	PF23609
Pele_DN124769_c0_g1	1	Beta-prop_RSE1_2nd	PF23726
Pele_DN124769_c0_g1	1	Beta-prop_IP5PC_F	PF23754
Pele_DN124769_c0_g1	1	Beta-prop_HPS5	PF23756
Pele_DN124769_c0_g1	1	Beta-prop_DCAF12	PF23760
Pele_DN124769_c0_g1	1	Beta-prop_DCAF4	PF23761
Pele_DN124769_c0_g1	1	Beta-prop_WDR75_2nd	PF23769
Pele_DN124769_c0_g1	1	Beta-prop_RIG_1st	PF23770
Pele_DN124769_c0_g1	1	Beta-prop_RIG_2nd	PF23775
Pele_DN124769_c0_g1	1	Beta-prop_SPT8	PF23798
Pele_DN124769_c0_g1	1	Beta-prop_WDR75_1st	PF23869
Pele_DN124769_c0_g1	1	Beta-prop_SCAP	PF24017
Pele_DN124769_c0_g1	1	Beta-prop_CAF1B_HIR1	PF24105
Pele_DN124769_c0_g1	1	WD40_MABP1-WDR62_1st	PF24780
Pele_DN124769_c0_g1	1	WD40_MABP1-WDR62_2nd	PF24782
Pele_DN124769_c0_g1	1	EIF3I	PF24805
Pele_DN124769_c0_g1	1	WD40_CDC20-Fz	PF24807
Pele_DN124769_c0_g1	1	WD40_Prp19	PF24814
Pele_DN124769_c0_g1	1	WD40_WDHD1_1st	PF24817
Pele_DN124769_c0_g1	1	Beta-prop_TEP1_2nd	PF25047
Pele_DN124769_c0_g1	1	Beta-prop_TEP1_C	PF25048
Pele_DN124769_c0_g1	1	Beta-prop_WDR36-Utp21_2nd	PF25168
Pele_DN124769_c0_g1	1	Beta-prop_WDR36-Utp21_1st	PF25171
Pele_DN124769_c0_g1	1	Beta-prop_WDR3_2nd	PF25172
Pele_DN124769_c0_g1	1	Beta-prop_WDR3_1st	PF25173
Pele_DN124769_c0_g1	1	Beta-prop_THOC3	PF25174
Pele_DN124769_c0_g1	1	Beta-prop_WDR41	PF25178
Pele_DN124769_c0_g1	1	WD40_Gbeta	PF25391
Pele_DN124769_c0_g1	1	Beta-prop_Aladin	PF25460
Pele_DN124769_c0_g1	1	Beta-prop_pof12	PF25499
Pele_DN124769_c0_g1	1	Tricorn_2nd	PF26550
Pele_DN124769_c0_g1	1	Phage_gp75	PF26828
Pele_DN124769_c0_g1	1	PuhC	PF27124
Pele_DN124774_c0_g1	1	PAN_1	PF00024
Pele_DN124774_c0_g1	1	Lectin_C	PF00059
