"geneID"	"sources"
"Pdum_DN10001_c0_g1"	"Domain"
"Pdum_DN100169_c0_g2"	"Domain"
"Pdum_DN10044_c0_g1"	"Domain"
"Pdum_DN10068_c0_g1"	"Domain"
"Pdum_DN10074_c0_g1"	"Domain"
"Pdum_DN100833_c0_g1"	"Domain"
"Pdum_DN101029_c0_g2"	"Domain"
"Pdum_DN10118_c0_g1"	"Domain"
"Pdum_DN1011_c0_g1"	"Domain"
"Pdum_DN10123_c0_g1"	"Domain"
"Pdum_DN10132_c0_g1"	"Domain"
"Pdum_DN101661_c0_g1"	"Domain"
"Pdum_DN10250_c0_g1"	"Domain"
"Pdum_DN1026_c0_g1"	"Domain"
"Pdum_DN10299_c0_g1"	"Domain"
"Pdum_DN10301_c0_g1"	"Domain"
"Pdum_DN10310_c0_g1"	"Domain"
"Pdum_DN103185_c1_g1"	"Domain"
"Pdum_DN10318_c0_g2"	"Domain"
"Pdum_DN1031_c1_g1"	"Domain"
"Pdum_DN10345_c0_g1"	"Domain"
"Pdum_DN10353_c0_g1"	"Domain"
"Pdum_DN10353_c1_g1"	"Domain"
"Pdum_DN10371_c0_g1"	"Domain"
"Pdum_DN10376_c0_g1"	"Domain"
"Pdum_DN10385_c0_g1"	"Domain"
"Pdum_DN10414_c0_g1"	"Domain"
"Pdum_DN10419_c0_g1"	"Domain"
"Pdum_DN10436_c3_g1"	"Domain"
"Pdum_DN1044_c0_g1"	"Domain"
"Pdum_DN10477_c0_g1"	"Domain"
"Pdum_DN104_c0_g1"	"Domain"
"Pdum_DN10523_c0_g1"	"Domain"
"Pdum_DN10578_c0_g1"	"Domain"
"Pdum_DN1059_c0_g1"	"Domain"
"Pdum_DN10603_c0_g1"	"Domain"
"Pdum_DN106408_c0_g1"	"Domain"
"Pdum_DN10640_c0_g1"	"Domain"
"Pdum_DN10662_c0_g1"	"Domain"
"Pdum_DN10669_c0_g1"	"Domain"
"Pdum_DN10670_c0_g1"	"Domain"
"Pdum_DN10671_c0_g1"	"Domain"
"Pdum_DN10709_c0_g1"	"Domain"
"Pdum_DN10730_c0_g1"	"Domain"
"Pdum_DN10761_c1_g1"	"Domain"
"Pdum_DN1076_c0_g1"	"Domain"
"Pdum_DN10770_c0_g1"	"Domain"
"Pdum_DN10772_c0_g1"	"Domain"
"Pdum_DN10808_c0_g1"	"Domain"
"Pdum_DN1080_c0_g1"	"Domain"
"Pdum_DN10825_c0_g1"	"Domain"
"Pdum_DN1082_c0_g1"	"Domain"
"Pdum_DN108350_c0_g1"	"Domain"
"Pdum_DN1085_c0_g1"	"Domain"
"Pdum_DN10870_c0_g1"	"Domain"
"Pdum_DN1087_c0_g1"	"Domain"
"Pdum_DN108800_c0_g1"	"Domain"
"Pdum_DN10885_c0_g2"	"Domain"
"Pdum_DN10887_c0_g1"	"Domain"
"Pdum_DN1088_c0_g1"	"Domain"
"Pdum_DN1093_c0_g1"	"Domain"
"Pdum_DN10986_c0_g1"	"Domain"
"Pdum_DN109_c0_g1"	"Domain"
"Pdum_DN110205_c0_g1"	"Domain"
"Pdum_DN1102_c0_g1"	"Domain"
"Pdum_DN11051_c0_g1"	"Domain"
"Pdum_DN110566_c0_g1"	"Domain"
"Pdum_DN11063_c0_g1"	"Domain"
"Pdum_DN11065_c0_g1"	"Domain"
"Pdum_DN11065_c0_g2"	"Domain"
"Pdum_DN11108_c0_g2"	"Domain"
"Pdum_DN11123_c0_g1"	"Domain"
"Pdum_DN1113_c10_g1"	"Domain"
"Pdum_DN1117_c0_g1"	"Domain"
"Pdum_DN112134_c0_g1"	"Domain"
"Pdum_DN1124_c1_g1"	"Domain"
"Pdum_DN11257_c0_g2"	"Domain"
"Pdum_DN11257_c1_g1"	"Domain"
"Pdum_DN11266_c1_g2"	"Domain"
"Pdum_DN1126_c0_g1"	"Domain"
"Pdum_DN11281_c0_g1"	"Domain"
"Pdum_DN1129_c0_g1"	"Domain"
"Pdum_DN113088_c0_g1"	"Domain"
"Pdum_DN1130_c0_g1"	"Domain"
"Pdum_DN11318_c0_g1"	"Domain"
"Pdum_DN11329_c0_g1"	"Domain"
"Pdum_DN11334_c0_g1"	"Domain"
"Pdum_DN1134_c1_g1"	"Domain"
"Pdum_DN1134_c2_g1"	"Domain"
"Pdum_DN11362_c0_g1"	"Domain"
"Pdum_DN1138_c0_g1"	"Domain"
"Pdum_DN11390_c0_g1"	"Domain"
"Pdum_DN1141_c0_g1"	"Domain"
"Pdum_DN11427_c0_g1"	"Domain"
"Pdum_DN1142_c2_g1"	"Domain"
"Pdum_DN1146_c0_g1"	"Domain"
"Pdum_DN1147_c0_g1"	"Domain"
"Pdum_DN11487_c0_g1"	"Domain"
"Pdum_DN1148_c0_g1"	"Domain"
"Pdum_DN1148_c2_g1"	"Domain"
"Pdum_DN11492_c0_g1"	"Domain"
"Pdum_DN11495_c0_g1"	"Domain"
"Pdum_DN11550_c0_g1"	"Domain"
"Pdum_DN11556_c2_g1"	"Domain"
"Pdum_DN11614_c0_g1"	"Domain"
"Pdum_DN11638_c0_g1"	"Domain"
"Pdum_DN11670_c0_g1"	"Domain"
"Pdum_DN11678_c1_g1"	"Domain"
"Pdum_DN1172_c0_g1"	"Domain"
"Pdum_DN1177_c0_g1"	"Domain"
"Pdum_DN11806_c0_g1"	"Domain"
"Pdum_DN1180_c0_g1"	"Domain"
"Pdum_DN1181_c0_g1"	"Domain"
"Pdum_DN11834_c0_g1"	"Domain"
"Pdum_DN11873_c0_g1"	"Domain"
"Pdum_DN11956_c0_g1"	"Domain"
"Pdum_DN11962_c2_g1"	"Domain"
"Pdum_DN1196_c1_g1"	"Domain"
"Pdum_DN11979_c0_g1"	"Domain"
"Pdum_DN1199_c5_g1"	"Domain"
"Pdum_DN12007_c0_g1"	"Domain"
"Pdum_DN120285_c0_g1"	"Domain"
"Pdum_DN120507_c0_g1"	"Domain"
"Pdum_DN12057_c0_g1"	"Domain"
"Pdum_DN1209_c0_g1"	"Domain"
"Pdum_DN12122_c0_g1"	"Domain"
"Pdum_DN12125_c0_g2"	"Domain"
"Pdum_DN12187_c0_g1"	"Domain"
"Pdum_DN12195_c0_g1"	"Domain"
"Pdum_DN122568_c0_g1"	"Domain"
"Pdum_DN122657_c0_g1"	"Domain"
"Pdum_DN122717_c0_g2"	"Domain"
"Pdum_DN122772_c0_g1"	"Domain"
"Pdum_DN1227_c2_g1"	"Domain"
"Pdum_DN122831_c0_g1"	"Domain"
"Pdum_DN1230_c0_g1"	"Domain"
"Pdum_DN12325_c0_g1"	"Domain"
"Pdum_DN123425_c0_g1"	"Domain"
"Pdum_DN123425_c0_g2"	"Domain"
"Pdum_DN12388_c0_g1"	"Domain"
"Pdum_DN1240_c1_g1"	"Domain"
"Pdum_DN124352_c0_g2"	"Domain"
"Pdum_DN12448_c0_g1"	"Domain"
"Pdum_DN1244_c0_g1"	"Domain"
"Pdum_DN12454_c1_g1"	"Domain"
"Pdum_DN12463_c0_g1"	"Domain"
"Pdum_DN12468_c0_g1"	"Domain"
"Pdum_DN12471_c0_g1"	"Domain"
"Pdum_DN12484_c0_g1"	"Domain"
"Pdum_DN1249_c0_g1"	"Domain"
"Pdum_DN12510_c1_g1"	"Domain"
"Pdum_DN12528_c1_g1"	"Domain"
"Pdum_DN12553_c0_g2"	"Domain"
"Pdum_DN125651_c0_g1"	"Domain"
"Pdum_DN12581_c0_g1"	"Domain"
"Pdum_DN12597_c0_g1"	"Domain"
"Pdum_DN1262_c0_g1"	"Domain"
"Pdum_DN12675_c0_g1"	"Domain"
"Pdum_DN12714_c0_g1"	"Domain"
"Pdum_DN12775_c0_g1"	"Domain"
"Pdum_DN1281_c0_g1"	"Domain"
"Pdum_DN1283_c0_g1"	"Domain"
"Pdum_DN12898_c0_g1"	"Domain"
"Pdum_DN128_c1_g1"	"Domain"
"Pdum_DN1294_c0_g1"	"Domain"
"Pdum_DN1294_c0_g2"	"Domain"
"Pdum_DN1295_c6_g1"	"Domain"
"Pdum_DN1298_c0_g1"	"Domain"
"Pdum_DN12990_c0_g1"	"Domain"
"Pdum_DN1301_c0_g1"	"Domain"
"Pdum_DN13058_c0_g1"	"Domain"
"Pdum_DN130634_c0_g1"	"Domain"
"Pdum_DN13066_c0_g3"	"Domain"
"Pdum_DN13093_c2_g1"	"Domain"
"Pdum_DN13118_c0_g1"	"Domain"
"Pdum_DN13131_c0_g1"	"Domain"
"Pdum_DN1315_c0_g1"	"Domain"
"Pdum_DN13194_c0_g1"	"Domain"
"Pdum_DN132001_c0_g1"	"Domain"
"Pdum_DN1320_c0_g1"	"Domain"
"Pdum_DN132199_c0_g1"	"Domain"
"Pdum_DN13226_c0_g1"	"Domain"
"Pdum_DN13231_c1_g1"	"Domain"
"Pdum_DN13240_c0_g1"	"Domain"
"Pdum_DN132519_c0_g1"	"Domain"
"Pdum_DN13297_c0_g1"	"Domain"
"Pdum_DN13336_c0_g1"	"Domain"
"Pdum_DN13342_c0_g1"	"Domain"
"Pdum_DN134958_c0_g1"	"Domain"
"Pdum_DN13510_c0_g1"	"Domain"
"Pdum_DN13521_c0_g1"	"Domain"
"Pdum_DN1352_c1_g1"	"Domain"
"Pdum_DN1360_c0_g1"	"Domain"
"Pdum_DN13619_c0_g1"	"Domain"
"Pdum_DN13688_c0_g2"	"Domain"
"Pdum_DN1370_c0_g1"	"Domain"
"Pdum_DN1376_c0_g1"	"Domain"
"Pdum_DN1379_c2_g1"	"Domain"
"Pdum_DN13871_c0_g1"	"Domain"
"Pdum_DN13875_c0_g1"	"Domain"
"Pdum_DN13879_c0_g1"	"Domain"
"Pdum_DN1387_c0_g1"	"Domain"
"Pdum_DN13887_c0_g1"	"Domain"
"Pdum_DN13887_c0_g3"	"Domain"
"Pdum_DN13887_c1_g1"	"Domain"
"Pdum_DN138_c0_g1"	"Domain"
"Pdum_DN1393_c0_g3"	"Domain"
"Pdum_DN14005_c0_g1"	"Domain"
"Pdum_DN14045_c0_g2"	"Domain"
"Pdum_DN1407_c0_g1"	"Domain"
"Pdum_DN14107_c0_g1"	"Domain"
"Pdum_DN14115_c0_g1"	"Domain"
"Pdum_DN1416_c0_g1"	"Domain"
"Pdum_DN14179_c0_g1"	"Domain"
"Pdum_DN141_c0_g1"	"Domain"
"Pdum_DN14210_c0_g3"	"Domain"
"Pdum_DN142227_c0_g1"	"Domain"
"Pdum_DN14251_c0_g1"	"Domain"
"Pdum_DN14265_c0_g1"	"Domain"
"Pdum_DN14287_c0_g1"	"Domain"
"Pdum_DN1428_c0_g1"	"Domain"
"Pdum_DN143622_c0_g1"	"Domain"
"Pdum_DN143890_c0_g1"	"Domain"
"Pdum_DN143_c0_g1"	"Domain"
"Pdum_DN14418_c0_g1"	"Domain"
"Pdum_DN1443_c0_g1"	"Domain"
"Pdum_DN14446_c0_g1"	"Domain"
"Pdum_DN14478_c0_g1"	"Domain"
"Pdum_DN14555_c0_g1"	"Domain"
"Pdum_DN14622_c0_g1"	"Domain"
"Pdum_DN14623_c0_g1"	"Domain"
"Pdum_DN14636_c1_g1"	"Domain"
"Pdum_DN14694_c0_g1"	"Domain"
"Pdum_DN14699_c0_g1"	"Domain"
"Pdum_DN146_c7_g1"	"Domain"
"Pdum_DN14704_c0_g1"	"Domain"
"Pdum_DN1475_c0_g1"	"Domain"
"Pdum_DN147957_c0_g1"	"Domain"
"Pdum_DN14795_c0_g1"	"Domain"
"Pdum_DN14869_c0_g1"	"Domain"
"Pdum_DN14869_c0_g2"	"Domain"
"Pdum_DN14943_c0_g1"	"Domain"
"Pdum_DN14952_c0_g1"	"Domain"
"Pdum_DN14990_c0_g1"	"Domain"
"Pdum_DN15009_c0_g1"	"Domain"
"Pdum_DN1502_c0_g1"	"Domain"
"Pdum_DN15035_c0_g1"	"Domain"
"Pdum_DN150_c0_g1"	"Domain"
"Pdum_DN15104_c0_g1"	"Domain"
"Pdum_DN15121_c0_g1"	"Domain"
"Pdum_DN1513_c0_g1"	"Domain"
"Pdum_DN15188_c0_g4"	"Domain"
"Pdum_DN1522_c0_g1"	"Domain"
"Pdum_DN15232_c0_g1"	"Domain"
"Pdum_DN15278_c0_g1"	"Domain"
"Pdum_DN15287_c2_g1"	"Domain"
"Pdum_DN1528_c1_g2"	"Domain"
"Pdum_DN15361_c0_g1"	"Domain"
"Pdum_DN153_c0_g1"	"Domain"
"Pdum_DN1540_c0_g1"	"Domain"
"Pdum_DN1544_c0_g1"	"Domain"
"Pdum_DN15529_c2_g1"	"Domain"
"Pdum_DN15552_c0_g1"	"Domain"
"Pdum_DN15626_c0_g1"	"Domain"
"Pdum_DN15660_c0_g1"	"Domain"
"Pdum_DN15666_c0_g1"	"Domain"
"Pdum_DN15679_c0_g1"	"Domain"
"Pdum_DN15727_c0_g1"	"Domain"
"Pdum_DN1576_c0_g1"	"Domain"
"Pdum_DN15776_c2_g1"	"Domain"
"Pdum_DN15786_c0_g1"	"Domain"
"Pdum_DN1585_c0_g1"	"Domain"
"Pdum_DN15973_c0_g1"	"Domain"
"Pdum_DN15983_c0_g1"	"Domain"
"Pdum_DN1598_c0_g3"	"Domain"
"Pdum_DN15_c0_g1"	"Domain"
"Pdum_DN1612_c0_g1"	"Domain"
"Pdum_DN1612_c2_g1"	"Domain"
"Pdum_DN16182_c0_g1"	"Domain"
"Pdum_DN161_c0_g1"	"Domain"
"Pdum_DN16207_c0_g1"	"Domain"
"Pdum_DN1620_c0_g1"	"Domain"
"Pdum_DN16261_c0_g1"	"Domain"
"Pdum_DN16396_c0_g1"	"Domain"
"Pdum_DN16457_c0_g1"	"Domain"
"Pdum_DN165_c0_g1"	"Domain"
"Pdum_DN1670_c0_g1"	"Domain"
"Pdum_DN1671_c0_g1"	"Domain"
"Pdum_DN16725_c0_g1"	"Domain"
"Pdum_DN16728_c0_g1"	"Domain"
"Pdum_DN16743_c1_g1"	"Domain"
"Pdum_DN1689_c1_g2"	"Domain"
"Pdum_DN1692_c1_g1"	"Domain"
"Pdum_DN1693_c0_g1"	"Domain"
"Pdum_DN17079_c0_g1"	"Domain"
"Pdum_DN17098_c1_g1"	"Domain"
"Pdum_DN1711_c0_g1"	"Domain"
"Pdum_DN17133_c0_g1"	"Domain"
"Pdum_DN17151_c0_g2"	"Domain"
"Pdum_DN1722_c0_g1"	"Domain"
"Pdum_DN17291_c1_g1"	"Domain"
"Pdum_DN1731_c0_g1"	"Domain"
"Pdum_DN1733_c0_g1"	"Domain"
"Pdum_DN1741_c0_g1"	"Domain"
"Pdum_DN1745_c0_g1"	"Domain"
"Pdum_DN174649_c0_g1"	"Domain"
"Pdum_DN17475_c0_g1"	"Domain"
"Pdum_DN17501_c0_g1"	"Domain"
"Pdum_DN1751_c0_g1"	"Domain"
"Pdum_DN175244_c0_g1"	"Domain"
"Pdum_DN17566_c0_g1"	"Domain"
"Pdum_DN1758_c1_g1"	"Domain"
"Pdum_DN1760_c0_g1"	"Domain"
"Pdum_DN1770_c0_g1"	"Domain"
"Pdum_DN17740_c0_g1"	"Domain"
"Pdum_DN17758_c0_g1"	"Domain"
"Pdum_DN1775_c0_g1"	"Domain"
"Pdum_DN17826_c0_g1"	"Domain"
"Pdum_DN17830_c0_g1"	"Domain"
"Pdum_DN17846_c0_g1"	"Domain"
"Pdum_DN1784_c1_g1"	"Domain"
"Pdum_DN1784_c2_g1"	"Domain"
"Pdum_DN178629_c0_g1"	"Domain"
"Pdum_DN17_c0_g2"	"Domain"
"Pdum_DN18001_c0_g1"	"Domain"
"Pdum_DN1800_c0_g1"	"Domain"
"Pdum_DN1801_c0_g1"	"Domain"
"Pdum_DN18134_c0_g1"	"Domain"
"Pdum_DN18181_c0_g1"	"Domain"
"Pdum_DN1818_c0_g2"	"Domain"
"Pdum_DN18300_c0_g1"	"Domain"
"Pdum_DN18321_c0_g1"	"Domain"
"Pdum_DN18419_c0_g1"	"Domain"
"Pdum_DN18442_c0_g1"	"Domain"
"Pdum_DN1849_c4_g1"	"Domain"
"Pdum_DN18504_c0_g1"	"Domain"
"Pdum_DN18511_c0_g1"	"Domain"
"Pdum_DN1853_c0_g1"	"Domain"
"Pdum_DN18554_c0_g1"	"Domain"
"Pdum_DN1865_c0_g1"	"Domain"
"Pdum_DN18685_c0_g1"	"Domain"
"Pdum_DN186932_c0_g1"	"Domain"
"Pdum_DN186990_c0_g1"	"Domain"
"Pdum_DN187019_c0_g1"	"Domain"
