Amar_DN100023_c0_g1	Pele_DN144895_c2_g1
Amar_DN100137_c0_g1	Pdum_DN426_c0_g1
Amar_DN100151_c0_g1	Pele_DN152511_c3_g12
Amar_DN100151_c0_g1	Pele_DN152511_c3_g12
Amar_DN100151_c0_g1	Pele_DN152511_c3_g12
Amar_DN100151_c0_g1	Pele_DN152511_c3_g12
Amar_DN100151_c0_g1	Pele_DN152511_c3_g12
Amar_DN100160_c0_g1	Pdum_DN1812_c0_g1
Amar_DN100160_c0_g1	Pdum_DN1812_c0_g1
Amar_DN100160_c0_g1	Pdum_DN1812_c0_g1
Amar_DN100170_c0_g1	Pele_DN148289_c2_g1
Amar_DN100184_c0_g1	Pele_DN159524_c2_g2
Amar_DN100191_c0_g1	Pele_DN156438_c1_g12
Amar_DN100217_c0_g1	Pele_DN165335_c0_g1
Amar_DN100292_c0_g1	Pdum_DN1384_c0_g1
Amar_DN100292_c0_g1	Pdum_DN1384_c0_g1
Amar_DN100292_c0_g1	Pdum_DN1384_c0_g1
Amar_DN100295_c0_g1	Pele_DN146880_c0_g1
Amar_DN100295_c0_g1	Pele_DN146880_c0_g1
Amar_DN100295_c0_g1	Pele_DN146880_c0_g1
Amar_DN1003_c0_g1	Pdum_DN3578_c0_g1
Amar_DN1003_c0_g1	Pdum_DN3578_c0_g1
Amar_DN100383_c0_g1	Pdum_DN4788_c1_g1
Amar_DN100383_c0_g1	Pdum_DN4788_c1_g1
Amar_DN100393_c0_g1	Pdum_DN2896_c0_g1
Amar_DN100407_c0_g1	Pele_DN132219_c0_g3
Amar_DN100407_c0_g1	Pele_DN132219_c0_g3
Amar_DN100407_c0_g1	Pele_DN132219_c0_g3
Amar_DN100455_c0_g1	Pele_DN80873_c0_g1
Amar_DN100456_c0_g1	Pdum_DN7941_c0_g1
Amar_DN100479_c0_g1	Pele_DN157119_c1_g1
Amar_DN100479_c0_g1	Pele_DN157119_c1_g1
Amar_DN100501_c0_g1	Pele_DN323722_c0_g1
Amar_DN100520_c0_g1	Pdum_DN513_c0_g1
Amar_DN100520_c0_g1	Pdum_DN513_c0_g1
Amar_DN100520_c0_g1	Pdum_DN513_c0_g1
Amar_DN100520_c0_g1	Pdum_DN513_c0_g1
Amar_DN100520_c0_g1	Pdum_DN513_c0_g1
Amar_DN100520_c0_g1	Pdum_DN513_c0_g1
Amar_DN100558_c0_g1	Pele_DN100320_c0_g1
Amar_DN100590_c0_g1	Pele_DN157095_c1_g4
Amar_DN100606_c0_g1	Pele_DN134880_c0_g2
Amar_DN100611_c0_g1	Pele_DN155549_c2_g2
Amar_DN100611_c0_g1	Pele_DN155549_c2_g2
Amar_DN100646_c0_g1	Pele_DN160141_c2_g1
Amar_DN100648_c0_g1	Pele_DN149950_c0_g1
Amar_DN100650_c0_g1	Pele_DN147441_c0_g1
Amar_DN100651_c0_g1	Pele_DN154648_c0_g3
Amar_DN100662_c0_g1	Pdum_DN7970_c0_g1
Amar_DN100678_c0_g1	Pdum_DN6279_c0_g1
Amar_DN100678_c0_g1	Pdum_DN6279_c0_g1
Amar_DN100678_c0_g1	Pdum_DN6279_c0_g1
Amar_DN100678_c0_g1	Pdum_DN6279_c0_g1
Amar_DN100690_c0_g1	Pele_DN149576_c1_g13
Amar_DN100726_c0_g1	Pdum_DN6876_c0_g1
Amar_DN100726_c0_g1	Pdum_DN6876_c0_g1
Amar_DN100765_c0_g1	Pdum_DN25674_c0_g1
Amar_DN100765_c0_g1	Pele_DN196205_c0_g1
Amar_DN100777_c0_g1	Pdum_DN185037_c0_g1
Amar_DN100777_c0_g1	Pele_DN157122_c0_g3
Amar_DN100779_c0_g1	Pele_DN149433_c1_g1
Amar_DN100782_c0_g1	Pdum_DN196757_c0_g1
Amar_DN100834_c0_g1	Pele_DN160569_c1_g2
Amar_DN100841_c0_g1	Pele_DN344500_c0_g1
Amar_DN100848_c0_g1	Pdum_DN4273_c0_g1
Amar_DN100883_c0_g1	Pdum_DN3951_c1_g1
Amar_DN100891_c0_g1	Pele_DN129749_c0_g2
Amar_DN1009_c0_g1	Pdum_DN6574_c0_g1
Amar_DN100918_c0_g1	Pdum_DN2757_c0_g1
Amar_DN100918_c0_g1	Pele_DN324607_c0_g1
Amar_DN100979_c0_g1	Pele_DN150217_c0_g1
Amar_DN101031_c0_g1	Pdum_DN2278_c0_g1
Amar_DN101048_c0_g1	Pele_DN111330_c0_g1
Amar_DN10105_c0_g1	Pele_DN157534_c0_g1
Amar_DN101067_c0_g1	Pdum_DN446_c0_g1
Amar_DN101067_c0_g1	Pdum_DN446_c0_g1
Amar_DN101067_c0_g1	Pdum_DN446_c0_g1
Amar_DN101067_c0_g1	Pele_DN293046_c0_g1
Amar_DN101070_c0_g1	Pele_DN147490_c1_g2
Amar_DN101081_c0_g1	Pele_DN152415_c3_g1
Amar_DN101133_c0_g1	Pele_DN159249_c1_g1
Amar_DN101138_c0_g1	Pele_DN154867_c1_g2
Amar_DN101147_c0_g1	Pdum_DN21596_c0_g1
Amar_DN101225_c0_g1	Pdum_DN18_c0_g1
Amar_DN101225_c0_g1	Pdum_DN18_c0_g1
Amar_DN101255_c0_g1	Pdum_DN1801_c0_g1
Amar_DN101267_c0_g1	Pele_DN251732_c0_g1
Amar_DN10133_c0_g1	Pele_DN35713_c0_g1
Amar_DN10133_c1_g1	Pele_DN142263_c3_g1
Amar_DN101339_c0_g1	Pdum_DN165_c0_g1
Amar_DN101341_c0_g1	Pele_DN157226_c3_g2
Amar_DN101344_c0_g1	Pele_DN110272_c0_g1
Amar_DN10137_c0_g1	Pdum_DN211245_c0_g1
Amar_DN101394_c0_g1	Pele_DN149613_c0_g1
Amar_DN101452_c0_g1	Pdum_DN3391_c0_g1
Amar_DN101469_c0_g1	Pdum_DN8698_c0_g1
Amar_DN101469_c0_g1	Pdum_DN8698_c0_g1
Amar_DN101469_c0_g1	Pdum_DN8698_c0_g1
Amar_DN101476_c0_g1	Pele_DN136975_c0_g1
Amar_DN1015_c0_g1	Pele_DN152614_c1_g1
Amar_DN101512_c0_g1	Pele_DN145183_c0_g1
Amar_DN101513_c0_g1	Pdum_DN3288_c0_g1
Amar_DN101513_c0_g1	Pdum_DN3288_c0_g1
Amar_DN101535_c0_g1	Pdum_DN5933_c0_g1
Amar_DN101535_c0_g1	Pdum_DN5933_c0_g1
Amar_DN101553_c0_g1	Pele_DN144749_c4_g3
Amar_DN101560_c0_g1	Pdum_DN231884_c0_g1
Amar_DN101560_c0_g1	Pele_DN154562_c0_g1
Amar_DN101577_c0_g1	Pele_DN159944_c2_g19
Amar_DN101656_c0_g1	Pdum_DN11012_c0_g1
Amar_DN101677_c0_g1	Pele_DN144214_c0_g5
Amar_DN101701_c0_g1	Pele_DN157013_c0_g2
Amar_DN101716_c0_g1	Pdum_DN17738_c0_g1
Amar_DN101743_c0_g1	Pdum_DN527_c1_g1
Amar_DN101743_c0_g1	Pdum_DN527_c1_g1
Amar_DN101743_c0_g1	Pele_DN92809_c0_g1
Amar_DN101768_c0_g1	Pele_DN148884_c1_g4
Amar_DN101768_c0_g1	Pele_DN148884_c1_g4
Amar_DN101779_c0_g1	Pele_DN157728_c1_g2
Amar_DN101789_c0_g1	Pdum_DN184_c1_g1
Amar_DN101827_c0_g1	Pele_DN139059_c0_g1
Amar_DN101856_c0_g1	Pele_DN138507_c0_g1
Amar_DN101866_c0_g1	Pdum_DN2637_c0_g1
Amar_DN101866_c0_g1	Pdum_DN2637_c0_g1
Amar_DN101866_c0_g1	Pdum_DN2637_c0_g1
Amar_DN101866_c0_g1	Pdum_DN2637_c0_g1
Amar_DN101866_c0_g1	Pdum_DN2637_c0_g1
Amar_DN101866_c0_g1	Pdum_DN2637_c0_g1
Amar_DN101899_c0_g1	Pele_DN146011_c0_g1
Amar_DN101914_c0_g1	Pele_DN160404_c7_g5
Amar_DN101914_c0_g1	Pele_DN160404_c7_g5
Amar_DN101916_c0_g1	Pele_DN149711_c1_g2
Amar_DN101937_c0_g1	Pdum_DN276_c0_g1
Amar_DN101937_c0_g1	Pdum_DN276_c0_g1
Amar_DN101970_c0_g1	Pdum_DN211145_c0_g1
Amar_DN101979_c0_g1	Pele_DN160459_c1_g1
Amar_DN101991_c0_g1	Pdum_DN7150_c0_g1
Amar_DN101998_c0_g1	Pele_DN149935_c0_g5
Amar_DN102034_c0_g1	Pele_DN150301_c0_g2
Amar_DN102053_c0_g1	Pdum_DN689_c0_g1
Amar_DN102058_c0_g1	Pele_DN146148_c0_g1
Amar_DN102078_c0_g1	Pdum_DN7887_c0_g2
Amar_DN102081_c0_g1	Pele_DN134658_c1_g3
Amar_DN102087_c0_g1	Pele_DN158069_c2_g5
Amar_DN102088_c0_g1	Pele_DN151304_c0_g1
Amar_DN102100_c0_g1	Pele_DN160000_c2_g1
Amar_DN102109_c0_g1	Pele_DN346301_c0_g1
Amar_DN10212_c0_g1	Pele_DN160646_c6_g2
Amar_DN102139_c0_g1	Pele_DN134118_c0_g1
Amar_DN102147_c0_g1	Pele_DN161777_c0_g1
Amar_DN102190_c0_g1	Pele_DN156830_c2_g1
Amar_DN102190_c0_g1	Pele_DN156830_c2_g1
Amar_DN102190_c0_g1	Pele_DN156830_c2_g1
Amar_DN102190_c0_g1	Pele_DN156830_c2_g1
Amar_DN102190_c1_g1	Pdum_DN123562_c0_g1
Amar_DN102190_c1_g1	Pele_DN156830_c2_g1
Amar_DN102190_c1_g1	Pele_DN156830_c2_g1
Amar_DN102198_c0_g1	Pele_DN160636_c5_g1
Amar_DN102208_c0_g1	Pdum_DN1000_c0_g1
Amar_DN102208_c0_g1	Pdum_DN1000_c0_g1
Amar_DN102228_c0_g1	Pdum_DN1733_c0_g1
Amar_DN102228_c0_g1	Pdum_DN1733_c0_g1
Amar_DN102228_c0_g1	Pdum_DN1733_c0_g1
Amar_DN102256_c0_g1	Pele_DN154871_c1_g3
Amar_DN102258_c0_g1	Pele_DN152468_c1_g3
Amar_DN102262_c0_g1	Pdum_DN191436_c0_g1
